name,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld,species
Luke Skywalker,172,77,blond,fair,blue,19,male,MASCULINE,Tatooine,Human
C-3PO,167,75,NA,gold,yellow,112,none,MASCULINE,Tatooine,Droid
R2-D2,96,32,NA,"white, blue",red,33,none,MASCULINE,Naboo,Droid
Darth Vader,202,136,none,white,yellow,41.9,male,MASCULINE,Tatooine,Human
Leia Organa,150,49,brown,light,brown,19,female,FEMININE,Alderaan,Human
Owen Lars,178,120,"brown, grey",light,blue,52,male,MASCULINE,Tatooine,Human
Beru Whitesun lars,165,75,brown,light,blue,47,female,FEMININE,Tatooine,Human
R5-D4,97,32,NA,"white, red",red,NA,none,MASCULINE,Tatooine,Droid
Biggs Darklighter,183,84,black,light,brown,24,male,MASCULINE,Tatooine,Human
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57,male,MASCULINE,Stewjon,Human
Anakin Skywalker,188,84,blond,fair,blue,41.9,male,MASCULINE,Tatooine,Human
Wilhuff Tarkin,180,NA,"auburn, grey",fair,blue,64,male,MASCULINE,Eriadu,Human
Chewbacca,228,112,brown,unknown,blue,200,male,MASCULINE,Kashyyyk,Wookiee
Han Solo,180,80,brown,fair,brown,29,male,MASCULINE,Corellia,Human
Greedo,173,74,NA,green,black,44,male,MASCULINE,Rodia,Rodian
Jabba Desilijic Tiure,175,1358,NA,"green-tan, brown",orange,600,hermaphroditic,MASCULINE,Nal Hutta,Hutt
Wedge Antilles,170,77,brown,fair,hazel,21,male,MASCULINE,Corellia,Human
Jek Tono Porkins,180,110,brown,fair,blue,NA,male,MASCULINE,Bestine IV,Human
Yoda,66,17,white,green,brown,896,male,MASCULINE,NA,Yoda's species
Palpatine,170,75,grey,pale,yellow,82,male,MASCULINE,Naboo,Human
Boba Fett,183,78.2,black,fair,brown,31.5,male,MASCULINE,Kamino,Human
IG-88,200,140,none,metal,red,15,none,MASCULINE,NA,Droid
Bossk,190,113,none,green,red,53,male,MASCULINE,Trandosha,Trandoshan
Lando Calrissian,177,79,black,dark,brown,31,male,MASCULINE,Socorro,Human
Lobot,175,79,none,light,blue,37,male,MASCULINE,Bespin,Human
Ackbar,180,83,none,brown mottle,orange,41,male,MASCULINE,Mon Cala,Mon Calamari
Mon Mothma,150,NA,auburn,fair,blue,48,female,FEMININE,Chandrila,Human
Arvel Crynyd,NA,NA,brown,fair,brown,NA,male,MASCULINE,NA,Human
Wicket Systri Warrick,88,20,brown,brown,brown,8,male,MASCULINE,Endor,Ewok
Nien Nunb,160,68,none,grey,black,NA,male,MASCULINE,Sullust,Sullustan
Qui-Gon Jinn,193,89,brown,fair,blue,92,male,MASCULINE,NA,Human
Nute Gunray,191,90,none,mottled green,red,NA,male,MASCULINE,Cato Neimoidia,Neimodian
Finis Valorum,170,NA,blond,fair,blue,91,male,MASCULINE,Coruscant,Human
Jar Jar Binks,196,66,none,orange,orange,52,male,MASCULINE,Naboo,Gungan
Roos Tarpals,224,82,none,grey,orange,NA,male,MASCULINE,Naboo,Gungan
Rugor Nass,206,NA,none,green,orange,NA,male,MASCULINE,Naboo,Gungan
Ric Olié,183,NA,brown,fair,blue,NA,NA,NA,Naboo,NA
Watto,137,NA,black,"blue, grey",yellow,NA,male,MASCULINE,Toydaria,Toydarian
Sebulba,112,40,none,"grey, red",orange,NA,male,MASCULINE,Malastare,Dug
Quarsh Panaka,183,NA,black,dark,brown,62,NA,NA,Naboo,NA
Shmi Skywalker,163,NA,black,fair,brown,72,female,FEMININE,Tatooine,Human
Darth Maul,175,80,none,red,yellow,54,male,MASCULINE,Dathomir,Zabrak
Bib Fortuna,180,NA,none,pale,pink,NA,male,MASCULINE,Ryloth,Twi'lek
Ayla Secura,178,55,none,blue,hazel,48,female,FEMININE,Ryloth,Twi'lek
Dud Bolt,94,45,none,"blue, grey",yellow,NA,male,MASCULINE,Vulpter,Vulptereen
Gasgano,122,NA,none,"white, blue",black,NA,male,MASCULINE,Troiken,Xexto
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,NA,male,MASCULINE,Tund,Toong
Mace Windu,188,84,none,dark,brown,72,male,MASCULINE,Haruun Kal,Human
Ki-Adi-Mundi,198,82,white,pale,yellow,92,male,MASCULINE,Cerea,Cerean
Kit Fisto,196,87,none,green,black,NA,male,MASCULINE,Glee Anselm,Nautolan
Eeth Koth,171,NA,black,brown,brown,NA,male,MASCULINE,Iridonia,Zabrak
Adi Gallia,184,50,none,dark,blue,NA,female,FEMININE,Coruscant,Tholothian
Saesee Tiin,188,NA,none,pale,orange,NA,male,MASCULINE,Iktotch,Iktotchi
Yarael Poof,264,NA,none,white,yellow,NA,male,MASCULINE,Quermia,Quermian
Plo Koon,188,80,none,orange,black,22,male,MASCULINE,Dorin,Kel Dor
Mas Amedda,196,NA,none,blue,blue,NA,male,MASCULINE,Champala,Chagrian
Gregar Typho,185,85,black,dark,brown,NA,male,MASCULINE,Naboo,Human
Cordé,157,NA,brown,light,brown,NA,female,FEMININE,Naboo,Human
Cliegg Lars,183,NA,brown,fair,blue,82,male,MASCULINE,Tatooine,Human
Poggle the Lesser,183,80,none,green,yellow,NA,male,MASCULINE,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58,female,FEMININE,Mirial,Mirialan
Barriss Offee,166,50,black,yellow,blue,40,female,FEMININE,Mirial,Mirialan
Dormé,165,NA,brown,light,brown,NA,female,FEMININE,Naboo,Human
Dooku,193,80,white,fair,brown,102,male,MASCULINE,Serenno,Human
Bail Prestor Organa,191,NA,black,tan,brown,67,male,MASCULINE,Alderaan,Human
Jango Fett,183,79,black,tan,brown,66,male,MASCULINE,Concord Dawn,Human
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,NA,female,FEMININE,Zolan,Clawdite
Dexter Jettster,198,102,none,brown,yellow,NA,male,MASCULINE,Ojom,Besalisk
Lama Su,229,88,none,grey,black,NA,male,MASCULINE,Kamino,Kaminoan
Taun We,213,NA,none,grey,black,NA,female,FEMININE,Kamino,Kaminoan
Jocasta Nu,167,NA,white,fair,blue,NA,female,FEMININE,Coruscant,Human
Ratts Tyerell,79,15,none,"grey, blue",unknown,NA,male,MASCULINE,Aleen Minor,Aleena
R4-P17,96,NA,none,"silver, red","red, blue",NA,none,FEMININE,NA,Droid
Wat Tambor,193,48,none,"green, grey",unknown,NA,male,MASCULINE,Skako,Skakoan
San Hill,191,NA,none,grey,gold,NA,male,MASCULINE,Muunilinst,Muun
Shaak Ti,178,57,none,"red, blue, white",black,NA,female,FEMININE,Shili,Togruta
Grievous,216,159,none,"brown, white","green, yellow",NA,male,MASCULINE,Kalee,Kaleesh
Tarfful,234,136,brown,brown,blue,NA,male,MASCULINE,Kashyyyk,Wookiee
Raymus Antilles,188,79,brown,light,brown,NA,male,MASCULINE,Alderaan,Human
Sly Moore,178,48,none,pale,white,NA,NA,NA,Umbara,NA
Tion Medon,206,80,none,grey,black,NA,male,MASCULINE,Utapau,Pau'an
Finn,NA,NA,black,dark,dark,NA,male,MASCULINE,NA,Human
Rey,NA,NA,brown,light,hazel,NA,female,FEMININE,NA,Human
Poe Dameron,NA,NA,brown,light,brown,NA,male,MASCULINE,NA,Human
BB8,NA,NA,none,none,black,NA,none,MASCULINE,NA,Droid
Captain Phasma,NA,NA,unknown,unknown,unknown,NA,NA,NA,NA,NA
Padmé Amidala,165,45,brown,light,brown,46,female,FEMININE,Naboo,Human
